"SETID","UM_CAMPUS","UM_CAMPUS_DESCR","UM_VP","UM_VP_DESCR","UM_COLLEGE","UM_COLLEGE_DESCR","UM_ZDEPTID","UM_ZDEPTID_DESCR","DEPTID","DESCR","LOCATION"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10679","C Academic Assistance Center","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10680","C Library","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10689","C International Programs","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10691","C Registrar's Office","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10678","C Adult Learning, Center for","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0333","UMC Academic Affairs","10670","C Academic Affairs, Ofc of","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0332","UMC Ag and Natural Resources","10671","C Ag & Natural Res, Dept of","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0493","UMC Business Department","10674","C Business Department","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0494","UMC Humanities,Soc Sci/Educ","10673","C Early Childhood Develop Ctr","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0494","UMC Humanities,Soc Sci/Educ","10672","C Humanities,Soc Sci/Education","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCAA","UMC ACADEMIC AFFAIRS","CCAA","UMC ACADEMIC AFFAIRS","Z0504","UMC Math, Science, Technology","10676","C Math, Sci, Tech Dept","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10668","C Development & Alumni Relatns","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10692","C Business Affairs Office","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10667","C University Relations","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10669","C Human Resources","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10677","C Technology Support Services","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10681","C Media Services","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0330","UMC Administration","10653","C Chancellor's Admin","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0336","UMC Facilities Management","10693","C Facilities & Operations","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0331","UMC Intercollegiate Athletics","10654","C Intercollegiate Athletics","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0331","UMC Intercollegiate Athletics","12272","C Club Trap","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0331","UMC Intercollegiate Athletics","12271","C Women's Cross Country","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCHA","UMC CHANCELLOR'S OFFICE","CCHA","UMC CHANCELLOR'S OFFICE","Z0331","UMC Intercollegiate Athletics","12270","C Men's Cross Country","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0335","UMC Auxiliary Services","10695","C Residential Life & Security","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0335","UMC Auxiliary Services","10688","C Health Services","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0335","UMC Auxiliary Services","10694","C Dining Services","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0334","UMC Financial Aid Funds","10685","C Financial Aid Funds","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","12215","C Wellness Center","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","10682","C Student Affairs","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","10687","C Retired Sr Vol Prog - RSVP","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","12060","C Financial Aid Administration","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","10684","C Career Services","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","12245","C Student & Family Experience","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","10683","C Admissions","CROOKSTON"
"UMNHR","CXXX","CROOKSTON","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","CCSA","UMC STU AFFAIR/ENROLLMENT MGMT","Z0385","UMC Student Affairs","10686","C Student Activities Office","CROOKSTON"
